SvName,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,GpsTimeNanos,UnixTime,Epoch,tRxGnssNanos,GpsWeekNumber,tRxSeconds,tTxSeconds,prSeconds,PrM,PrSigmaM,sv,t_k,delT_sv,x_k,y_k,z_k,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G10,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,10,0.0,16399,579231349848652,6,48.3,385.8303527832031,0.6046868562698364,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,43.3,0.0,0.0,,,C,338427125412553,G,1.3970624314260416e+18,2024-04-13 16:53:51.426041600+00:00,0,1.3970624314260416e+18,2309.0,579231.4260416031,579231.349848652,0.07619295106269419,22842072.081358805,1.7987547480000003,G10,3247.3498486520257,-8.485804675530217e-06,-1620081.7744787037,17327678.89277763,20172485.06377191,4438536.937786613,3085403.9035086026,3376938.4350600042,32.16670230776333,34.80470319700691,1586.868829372339
G21,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,21,0.0,16399,579231353769847,9,45.7,-314.40350341796875,1.1710712909698486,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,40.7,0.0,0.0,,,C,338427125412553,G,1.3970624314260416e+18,2024-04-13 16:53:51.426041600+00:00,0,1.3970624314260416e+18,2309.0,579231.4260416031,579231.3537698471,0.07227175601292402,21666527.37909077,2.6981321220000005,G21,3231.3537698470755,0.00012735601297251685,15757452.408317765,1890975.9571634931,21856363.72227612,4438536.937786613,3085403.9035086026,3376938.4350600042,32.16670230776333,34.80470319700691,1586.868829372339
G27,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,27,0.0,16399,579231351921542,19,37.9,570.804931640625,0.46700000762939453,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,32.9,0.0,0.0,,,C,338427125412553,G,1.3970624314260416e+18,2024-04-13 16:53:51.426041600+00:00,0,1.3970624314260416e+18,2309.0,579231.4260416031,579231.3519215421,0.07412006100639701,22220635.276217714,5.696056702000001,G27,3231.351921542082,-1.840469338253051e-05,23098436.983025927,13303367.387089957,-3014966.440680798,4438536.937786613,3085403.9035086026,3376938.4350600042,32.16670230776333,34.80470319700691,1586.868829372339
G32,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,32,0.0,16399,579231354380770,6,48.5,279.2655639648437,0.5971868634223938,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,43.5,0.0,0.0,,,C,338427125412553,G,1.3970624314260416e+18,2024-04-13 16:53:51.426041600+00:00,0,1.3970624314260416e+18,2309.0,579231.4260416031,579231.35438077,0.07166083308402449,21483377.29258742,1.7987547480000003,G32,3231.3543807700044,-0.0006180522756738444,7810468.746056123,17849813.844240233,18350828.84000951,4438536.937786613,3085403.9035086026,3376938.4350600042,32.16670230776333,34.80470319700691,1586.868829372339
G08,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,08,0.0,81935,579231355458996,14,27.7,207.6083984375,1.034000039100647,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.6,22.7,-7861.56591796875,6.028573513031006,,,Q,338427125412553,G,1.3970624314260416e+18,2024-04-13 16:53:51.426041600+00:00,0,1.3970624314260416e+18,2309.0,579231.4260416031,579231.355458996,0.0705826070625335,21160133.263325077,4.197094412,G08,3231.355458996026,0.00011965815753207226,25023639.6240527,4783845.8041696865,8137692.350133545,4438536.937786613,3085403.9035086026,3376938.4350600042,32.16670230776333,34.80470319700691,1586.868829372339
G08,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,08,0.0,16399,579232355450479,106,24.4,211.72073364257807,4.218999862670898,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,19.4,0.0,0.0,,,C,338428126732344,G,1.3970624324260416e+18,2024-04-13 16:53:52.426041600+00:00,1,1.3970624324260416e+18,2309.0,579232.4260416031,579232.3554504791,0.07059112400747836,21162686.57918475,31.778000548000005,G08,3232.355450479081,0.00011965818072398963,25024485.673475336,4784495.73568894,8134789.066819822,4434962.066404646,3084226.345458857,3374381.9002307556,32.16450443199266,34.816089993035995,-2827.822928952053
G10,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,10,0.0,16399,579232349847362,5,50.6,389.1298522949219,0.03300664201378822,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,45.6,0.0,0.0,,,C,338428126732344,G,1.3970624324260416e+18,2024-04-13 16:53:52.426041600+00:00,1,1.3970624324260416e+18,2309.0,579232.4260416031,579232.349847362,0.07619424106087536,22842458.81308435,1.4989622900000001,G10,3248.3498473620275,-8.485808995624479e-06,-1622221.7386181047,17329011.9448335,20171123.300062597,4434962.066404646,3084226.345458857,3374381.9002307556,32.16450443199266,34.816089993035995,-2827.822928952053
G21,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,21,0.0,16399,579232353770873,12,42.1,-311.0836181640625,0.03149757161736488,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,37.1,0.0,0.0,,,C,338428126732344,G,1.3970624324260416e+18,2024-04-13 16:53:52.426041600+00:00,1,1.3970624324260416e+18,2309.0,579232.4260416031,579232.353770873,0.07227073004469275,21666219.80155289,3.5975094960000007,G21,3232.3537708730437,0.0001273560113808995,15757890.182902262,1893596.489021039,21855909.19883369,4434962.066404646,3084226.345458857,3374381.9002307556,32.16450443199266,34.816089993035995,-2827.822928952053
G27,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,27,0.0,16399,579232351919628,17,38.4,574.4353637695312,0.6136754155158997,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,33.4,0.0,0.0,,,C,338428126732344,G,1.3970624324260416e+18,2024-04-13 16:53:52.426041600+00:00,1,1.3970624324260416e+18,2309.0,579232.4260416031,579232.351919628,0.07412197510711849,22221209.109177865,5.096471786,G27,3232.3519196279813,-1.840469565626291e-05,23098025.775149066,13303432.704174265,-3018087.6846097396,4434962.066404646,3084226.345458857,3374381.9002307556,32.16450443199266,34.816089993035995,-2827.822928952053
G32,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,32,0.0,16399,579232354379846,6,49.7,282.67205810546875,0.025792080909013748,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,44.7,0.0,0.0,,,C,338428126732344,G,1.3970624324260416e+18,2024-04-13 16:53:52.426041600+00:00,1,1.3970624324260416e+18,2309.0,579232.4260416031,579232.354379846,0.07166175707243383,21483654.29734382,1.7987547480000003,G32,3232.354379846016,-0.0006180522761285914,7808348.177779548,17848964.775606938,18352557.366964802,4434962.066404646,3084226.345458857,3374381.9002307556,32.16450443199266,34.816089993035995,-2827.822928952053
